jerseyNumber,person_fullName,person_id,person_link,position_abbreviation,position_code,position_name,position_type,team,teamFullName,year
5,Zach Trotman,8475902,/api/v1/people/8475902,D,D,Defenseman,Defenseman,BOS,Boston Bruins,20132014
86,Kevan Miller,8476191,/api/v1/people/8476191,D,D,Defenseman,Defenseman,BOS,Boston Bruins,20132014
76,Alex Khokhlachev,8476435,/api/v1/people/8476435,C,C,Center,Forward,BOS,Boston Bruins,20132014
,Matt Lindblad,8477228,/api/v1/people/8477228,C,C,Center,Forward,BOS,Boston Bruins,20132014
35,Niklas Svedberg,8476844,/api/v1/people/8476844,G,G,Goalie,Goalie,BOS,Boston Bruins,20132014
,Nicolas Deslauriers,8475235,/api/v1/people/8475235,LW,L,Left Wing,Forward,BUF,Buffalo Sabres,20132014
36,Phil Varone,8475321,/api/v1/people/8475321,C,C,Center,Forward,BUF,Buffalo Sabres,20132014
28,Zemgus Girgensons,8476878,/api/v1/people/8476878,C,C,Center,Forward,BUF,Buffalo Sabres,20132014
19,Jake McCabe,8476931,/api/v1/people/8476931,D,D,Defenseman,Defenseman,BUF,Buffalo Sabres,20132014
55,Rasmus Ristolainen,8477499,/api/v1/people/8477499,D,D,Defenseman,Defenseman,BUF,Buffalo Sabres,20132014
16,Nikita Zadorov,8477507,/api/v1/people/8477507,D,D,Defenseman,Defenseman,BUF,Buffalo Sabres,20132014
49,Connor Knapp,8475303,/api/v1/people/8475303,G,G,Goalie,Goalie,BUF,Buffalo Sabres,20132014
50,Nathan Lieuwen,8476319,/api/v1/people/8476319,G,G,Goalie,Goalie,BUF,Buffalo Sabres,20132014
28,Joonas Nattinen,8475198,/api/v1/people/8475198,C,C,Center,Forward,MTL,Montréal Canadiens,20132014
15,Michael Bournival,8475739,/api/v1/people/8475739,LW,L,Left Wing,Forward,MTL,Montréal Canadiens,20132014
,Patrick Holland,8475889,/api/v1/people/8475889,RW,R,Right Wing,Forward,MTL,Montréal Canadiens,20132014
,Cody Ceci,8476879,/api/v1/people/8476879,D,D,Defenseman,Defenseman,OTT,Ottawa Senators,20132014
,Andrew Hammond,8477202,/api/v1/people/8477202,G,G,Goalie,Goalie,OTT,Ottawa Senators,20132014
45,Jamie Devane,8475190,/api/v1/people/8475190,LW,L,Left Wing,Forward,TOR,Toronto Maple Leafs,20132014
49,Jerry D'Amigo,8475309,/api/v1/people/8475309,RW,R,Right Wing,Forward,TOR,Toronto Maple Leafs,20132014
