jerseyNumber,person_fullName,person_id,person_link,position_abbreviation,position_code,position_name,position_type,team,teamFullName,year
19,Reilly Smith,8475191,/api/v1/people/8475191,RW,R,Right Wing,Forward,DAL,Dallas Stars,20112012
4,Brenden Dillon,8475455,/api/v1/people/8475455,D,D,Defenseman,Defenseman,DAL,Dallas Stars,20112012
,Matt Fraser,8475671,/api/v1/people/8475671,RW,R,Right Wing,Forward,DAL,Dallas Stars,20112012
16,Ryan Garbutt,8476116,/api/v1/people/8476116,C,C,Center,Forward,DAL,Dallas Stars,20112012
26,Slava Voynov,8474594,/api/v1/people/8474594,D,D,Defenseman,Defenseman,LAK,Los Angeles Kings,20112012
71,Jordan Nolan,8475325,/api/v1/people/8475325,C,C,Center,Forward,LAK,Los Angeles Kings,20112012
50,Matt Watkins,8471821,/api/v1/people/8471821,RW,R,Right Wing,Forward,PHX,Phoenix Coyotes,20112012
26,Michael Stone,8474628,/api/v1/people/8474628,D,D,Defenseman,Defenseman,PHX,Phoenix Coyotes,20112012
37,Andy Miele,8476206,/api/v1/people/8476206,C,C,Center,Forward,PHX,Phoenix Coyotes,20112012
29,Andrew Joudrey,8470838,/api/v1/people/8470838,C,C,Center,Forward,CBJ,Columbus Blue Jackets,20112012
25,Ryan Russell,8471868,/api/v1/people/8471868,LW,L,Left Wing,Forward,CBJ,Columbus Blue Jackets,20112012
28,Cody Goloubef,8474597,/api/v1/people/8474597,D,D,Defenseman,Defenseman,CBJ,Columbus Blue Jackets,20112012
13,Cam Atkinson,8474715,/api/v1/people/8474715,RW,R,Right Wing,Forward,CBJ,Columbus Blue Jackets,20112012
5,Dalton Prout,8474774,/api/v1/people/8474774,D,D,Defenseman,Defenseman,CBJ,Columbus Blue Jackets,20112012
58,David Savard,8475233,/api/v1/people/8475233,D,D,Defenseman,Defenseman,CBJ,Columbus Blue Jackets,20112012
92,Ryan Johansen,8475793,/api/v1/people/8475793,C,C,Center,Forward,CBJ,Columbus Blue Jackets,20112012
41,Allen York,8474057,/api/v1/people/8474057,G,G,Goalie,Goalie,CBJ,Columbus Blue Jackets,20112012
31,Shawn Hunwick,8476803,/api/v1/people/8476803,G,G,Goalie,Goalie,CBJ,Columbus Blue Jackets,20112012
59,Kris Fredheim,8471846,/api/v1/people/8471846,D,D,Defenseman,Defenseman,MIN,Minnesota Wild,20112012
36,Chad Rau,8471885,/api/v1/people/8471885,C,C,Center,Forward,MIN,Minnesota Wild,20112012
34,David McIntyre,8473511,/api/v1/people/8473511,C,C,Center,Forward,MIN,Minnesota Wild,20112012
65,Tyler Cuma,8474585,/api/v1/people/8474585,D,D,Defenseman,Defenseman,MIN,Minnesota Wild,20112012
72,Kristopher Foucault,8475219,/api/v1/people/8475219,LW,L,Left Wing,Forward,MIN,Minnesota Wild,20112012
79,Jarod Palmer,8475679,/api/v1/people/8475679,C,C,Center,Forward,MIN,Minnesota Wild,20112012
16,Jason Zucker,8475722,/api/v1/people/8475722,LW,L,Left Wing,Forward,MIN,Minnesota Wild,20112012
54,Brett Bulmer,8475757,/api/v1/people/8475757,RW,R,Right Wing,Forward,MIN,Minnesota Wild,20112012
47,Chay Genoway,8476224,/api/v1/people/8476224,D,D,Defenseman,Defenseman,MIN,Minnesota Wild,20112012
31,Matt Hackett,8475252,/api/v1/people/8475252,G,G,Goalie,Goalie,MIN,Minnesota Wild,20112012
55,Mark Scheifele,8476460,/api/v1/people/8476460,C,C,Center,Forward,WPG,Winnipeg Jets,20112012
12,Matt Anderson,8473944,/api/v1/people/8473944,RW,R,Right Wing,Forward,NJD,New Jersey Devils,20122013
44,Eric Gelinas,8475199,/api/v1/people/8475199,D,D,Defenseman,Defenseman,NJD,New Jersey Devils,20122013
15,Harri Pesonen,8476849,/api/v1/people/8476849,C,C,Center,Forward,NJD,New Jersey Devils,20122013
25,Stefan Matteau,8476870,/api/v1/people/8476870,C,C,Center,Forward,NJD,New Jersey Devils,20122013
31,Jeff Frazee,8471712,/api/v1/people/8471712,G,G,Goalie,Goalie,NJD,New Jersey Devils,20122013
37,Keith Kinkaid,8476234,/api/v1/people/8476234,G,G,Goalie,Goalie,NJD,New Jersey Devils,20122013
4,Thomas Hickey,8474066,/api/v1/people/8474066,D,D,Defenseman,Defenseman,NYI,New York Islanders,20122013
27,Anders Lee,8475314,/api/v1/people/8475314,LW,L,Left Wing,Forward,NYI,New York Islanders,20122013
29,Brock Nelson,8475754,/api/v1/people/8475754,C,C,Center,Forward,NYI,New York Islanders,20122013
39,Christian Thomas,8475749,/api/v1/people/8475749,LW,L,Left Wing,Forward,NYR,New York Rangers,20122013
10,J.T. Miller,8476468,/api/v1/people/8476468,C,C,Center,Forward,NYR,New York Rangers,20122013
38,Oliver Lauridsen,8475342,/api/v1/people/8475342,D,D,Defenseman,Defenseman,PHI,Philadelphia Flyers,20122013
34,Matthew Konan,8475395,/api/v1/people/8475395,D,D,Defenseman,Defenseman,PHI,Philadelphia Flyers,20122013
44,Tye McGinn,8475775,/api/v1/people/8475775,LW,L,Left Wing,Forward,PHI,Philadelphia Flyers,20122013
20,Jason Akeson,8475917,/api/v1/people/8475917,RW,R,Right Wing,Forward,PHI,Philadelphia Flyers,20122013
21,Scott Laughton,8476872,/api/v1/people/8476872,C,C,Center,Forward,PHI,Philadelphia Flyers,20122013
78,Beau Bennett,8475761,/api/v1/people/8475761,RW,R,Right Wing,Forward,PIT,Pittsburgh Penguins,20122013
68,Jamie Tardif,8470704,/api/v1/people/8470704,RW,R,Right Wing,Forward,BOS,Boston Bruins,20122013
34,Carl Soderberg,8471262,/api/v1/people/8471262,C,C,Center,Forward,BOS,Boston Bruins,20122013
15,Ryan Spooner,8475727,/api/v1/people/8475727,C,C,Center,Forward,BOS,Boston Bruins,20122013
19,Dougie Hamilton,8476462,/api/v1/people/8476462,D,D,Defenseman,Defenseman,BOS,Boston Bruins,20122013
13,Mark Pysyk,8475796,/api/v1/people/8475796,D,D,Defenseman,Defenseman,BUF,Buffalo Sabres,20122013
32,Brian Flynn,8476808,/api/v1/people/8476808,C,C,Center,Forward,BUF,Buffalo Sabres,20122013
25,Mikhail Grigorenko,8476888,/api/v1/people/8476888,C,C,Center,Forward,BUF,Buffalo Sabres,20122013
2,Chad Ruhwedel,8477244,/api/v1/people/8477244,D,D,Defenseman,Defenseman,BUF,Buffalo Sabres,20122013
29,Greg Pateryn,8474688,/api/v1/people/8474688,D,D,Defenseman,Defenseman,MTL,Montréal Canadiens,20122013
24,Jarred Tinordi,8475797,/api/v1/people/8475797,D,D,Defenseman,Defenseman,MTL,Montréal Canadiens,20122013
11,Brendan Gallagher,8475848,/api/v1/people/8475848,RW,R,Right Wing,Forward,MTL,Montréal Canadiens,20122013
88,Nathan Beaulieu,8476470,/api/v1/people/8476470,D,D,Defenseman,Defenseman,MTL,Montréal Canadiens,20122013
18,Alex Galchenyuk,8476851,/api/v1/people/8476851,C,C,Center,Forward,MTL,Montréal Canadiens,20122013
2,Eric Gryba,8473468,/api/v1/people/8473468,D,D,Defenseman,Defenseman,OTT,Ottawa Senators,20122013
38,Derek Grant,8474683,/api/v1/people/8474683,C,C,Center,Forward,OTT,Ottawa Senators,20122013
59,Dave Dziurzynski,8475661,/api/v1/people/8475661,LW,L,Left Wing,Forward,OTT,Ottawa Senators,20122013
89,Cory Conacher,8476195,/api/v1/people/8476195,C,C,Center,Forward,OTT,Ottawa Senators,20122013
44,Jean-Gabriel Pageau,8476419,/api/v1/people/8476419,C,C,Center,Forward,OTT,Ottawa Senators,20122013
47,Leo Komarov,8473463,/api/v1/people/8473463,RW,R,Right Wing,Forward,TOR,Toronto Maple Leafs,20122013
21,Michael Kostka,8474497,/api/v1/people/8474497,D,D,Defenseman,Defenseman,TOR,Toronto Maple Leafs,20122013
72,Nicolas Blanchard,8471853,/api/v1/people/8471853,LW,L,Left Wing,Forward,CAR,Carolina Hurricanes,20122013
15,Chris Terry,8474052,/api/v1/people/8474052,LW,L,Left Wing,Forward,CAR,Carolina Hurricanes,20122013
73,Brett Bellemore,8474135,/api/v1/people/8474135,D,D,Defenseman,Defenseman,CAR,Carolina Hurricanes,20122013
13,Jared Staal,8474615,/api/v1/people/8474615,RW,R,Right Wing,Forward,CAR,Carolina Hurricanes,20122013
47,Michal Jordan,8474661,/api/v1/people/8474661,D,D,Defenseman,Defenseman,CAR,Carolina Hurricanes,20122013
32,Ryan Murphy,8476465,/api/v1/people/8476465,D,D,Defenseman,Defenseman,CAR,Carolina Hurricanes,20122013
62,Michael Caruso,8473416,/api/v1/people/8473416,D,D,Defenseman,Defenseman,FLA,Florida Panthers,20122013
52,Jonathan Rheault,8473616,/api/v1/people/8473616,RW,R,Right Wing,Forward,FLA,Florida Panthers,20122013
42,Eric Selleck,8474554,/api/v1/people/8474554,LW,L,Left Wing,Forward,FLA,Florida Panthers,20122013
42,Drew Shore,8475213,/api/v1/people/8475213,C,C,Center,Forward,FLA,Florida Panthers,20122013
15,Alexander Petrovic,8475755,/api/v1/people/8475755,D,D,Defenseman,Defenseman,FLA,Florida Panthers,20122013
27,Nick Bjugstad,8475760,/api/v1/people/8475760,C,C,Center,Forward,FLA,Florida Panthers,20122013
21,Quinton Howden,8475769,/api/v1/people/8475769,C,C,Center,Forward,FLA,Florida Panthers,20122013
11,Jonathan Huberdeau,8476456,/api/v1/people/8476456,LW,L,Left Wing,Forward,FLA,Florida Panthers,20122013
17,Alex Killorn,8473986,/api/v1/people/8473986,LW,L,Left Wing,Forward,TBL,Tampa Bay Lightning,20122013
44,Mark Barberio,8474717,/api/v1/people/8474717,D,D,Defenseman,Defenseman,TBL,Tampa Bay Lightning,20122013
9,Tyler Johnson,8474870,/api/v1/people/8474870,C,C,Center,Forward,TBL,Tampa Bay Lightning,20122013
14,Richard Panik,8475209,/api/v1/people/8475209,RW,R,Right Wing,Forward,TBL,Tampa Bay Lightning,20122013
33,Radko Gudas,8475462,/api/v1/people/8475462,D,D,Defenseman,Defenseman,TBL,Tampa Bay Lightning,20122013
18,Ondrej Palat,8476292,/api/v1/people/8476292,LW,L,Left Wing,Forward,TBL,Tampa Bay Lightning,20122013
62,Andrej Sustr,8477205,/api/v1/people/8477205,D,D,Defenseman,Defenseman,TBL,Tampa Bay Lightning,20122013
43,Steve Oleksy,8476162,/api/v1/people/8476162,D,D,Defenseman,Defenseman,WSH,Washington Capitals,20122013
6,Cameron Schilling,8476799,/api/v1/people/8476799,D,D,Defenseman,Defenseman,WSH,Washington Capitals,20122013
43,Tom Wilson,8476880,/api/v1/people/8476880,RW,R,Right Wing,Forward,WSH,Washington Capitals,20122013
31,Philipp Grubauer,8475831,/api/v1/people/8475831,G,G,Goalie,Goalie,WSH,Washington Capitals,20122013
42,Shawn Lalonde,8474629,/api/v1/people/8474629,D,D,Defenseman,Defenseman,CHI,Chicago Blackhawks,20122013
20,Ryan Stanton,8475598,/api/v1/people/8475598,D,D,Defenseman,Defenseman,CHI,Chicago Blackhawks,20122013
14,Drew LeBlanc,8477243,/api/v1/people/8477243,C,C,Center,Forward,CHI,Chicago Blackhawks,20122013
